Hostname,Check-Host,Port,IPAddress,CPUCore,RAM,Disk,Check-Host-ip
vm4,vm6,9000,192.168.3.118,1,2,60,192.168.3.116
vm6,vm4,8000,192.168.3.116,1,2,21.5,192.168.3.118
